track_id,track_length,first_frame_id,last_frame_id,first_frame_index,last_frame_index,frame_span,start_x,start_y,end_x,end_y,net_displacement,path_length,mean_step_distance,max_step_distance,straightness_ratio,mean_score,min_score,max_score,mean_points,min_points,max_points,passes_curation,rejection_reasons,quality_score
226,3,261,264,11,14,4,8.848193212310184,-4.432761644844376,5.646234661068424,-2.513573259530145,3.733071472955652,4.464988350440013,2.2324941752200065,2.382310872622823,0.8360764194575708,0.9386772148766465,0.9220276703336584,0.9571428571428572,164.33333333333334,125.0,223.0,False,short_track,0.7792485588457477
257,3,263,269,13,19,7,4.942927150194321,8.654823643179835,2.4555912434990064,9.563417719153076,2.64809046439684,3.787253546284417,1.8936267731422085,2.8704887465487134,0.6992112970611164,0.8960927793623616,0.798131671080801,1.0,421.3333333333333,105.0,1009.0,False,short_track,0.735127202063812
56,3,253,258,3,8,6,50.40641940080846,9.044308146531142,45.73626063948911,6.269889831725096,5.432106390845001,5.529881555786599,2.7649407778932993,4.298864071888612,0.9823187596415545,0.7507031170872995,0.6134707329142225,1.0,128.66666666666666,50.0,283.0,False,short_track,0.7091021429999409
128,3,255,259,5,9,5,8.593793898289844,19.41721004327179,3.080676684418102,19.789299224975025,5.5256593971244286,5.528238614198346,2.764119307099173,3.750406434468868,0.9995334468618461,0.8102851924893223,0.6708555774679672,1.0,107.33333333333333,56.0,198.0,False,short_track,0.7058518753178072
21,3,251,255,1,5,5,1.7362991117694224,-6.090913540777044,0.7805076866164337,-4.619601092763593,1.7545077851281585,3.269850212579123,1.6349251062895616,2.214024048083978,0.5365713017613352,0.8507524365997114,0.5522573097991343,1.0,294.3333333333333,27.0,535.0,False,short_track,0.6994699260440024
78,3,254,258,4,8,5,22.580636754380905,-8.249461755079974,25.533520821931408,-11.387711962063385,4.309076313785244,4.59576306253735,2.297881531268675,2.6490060215336104,0.9376193365821988,0.7633478875755868,0.6458217134504378,0.8812317036712258,96.66666666666667,59.0,144.0,False,short_track,0.6812800099729124
169,3,257,261,7,11,5,41.08736364597913,-6.396465101444455,39.04870087137113,-1.0862970488695924,5.688060359662078,5.871404562249733,2.9357022811248665,3.3552595118548707,0.9687733657860218,0.7493715645385155,0.6013508662721387,1.0,95.33333333333333,50.0,173.0,False,short_track,0.6734107886476157
94,3,255,259,5,9,5,22.742832860618797,13.15406934387766,24.796937678278077,19.942074840704848,7.0919930362971435,7.092923759072338,3.546461879536169,3.949710956974771,0.9998687815057924,0.759327962121842,0.6358319686477127,0.9437603755620676,92.33333333333333,48.0,168.0,False,short_track,0.6706883281234026
305,3,266,269,16,19,4,29.308400494246047,12.038908235214343,24.52977118856963,10.20757325776051,5.117527317046322,5.126756276556844,2.563378138278422,2.7192149348070047,0.9981998443045315,0.7190986871259595,0.5419392532170989,0.8771355064218387,88.33333333333333,29.0,158.0,False,short_track,0.6703450888779435
301,3,265,269,15,19,5,18.38342962970551,-24.803568639000765,15.318475101624808,-26.08254231252739,3.321102214141654,3.8902594974500126,1.9451297487250063,2.4363859083567863,0.8536968334165291,0.8014120146624023,0.6728236570199028,0.9013931245088376,89.66666666666667,54.0,130.0,False,short_track,0.6673359591928593
287,3,265,269,15,19,5,35.670816316749125,32.61869951821444,31.633986982641265,32.07926007235572,4.072712362598429,4.077470015652976,2.038735007826488,2.763926181116557,0.9988331850298634,0.7414212786551339,0.6842010113357612,0.8206696172066761,81.33333333333333,48.0,117.0,False,short_track,0.6661601809931007
155,3,256,260,6,10,5,12.00904238701449,27.57130185466172,12.3299619942602,23.306047975133676,4.2773099082418335,5.757276168913138,2.878638084456569,3.5178413093017147,0.7429398525881913,0.7460855756508676,0.5461449081046156,1.0,119.0,25.0,274.0,False,short_track,0.6569458718736075
