frame_id,frame_index,active_tracks,detections,mean_x,mean_y
250,0,6,6,29.858313170452263,6.499393376264759
251,1,8,8,10.443650656540779,-0.8439479661856621
252,2,12,12,28.88230277758086,5.6125976922383956
253,3,11,11,29.123258006624994,9.053080563426748
254,4,19,19,23.932133770147168,-1.7140557102431746
255,5,29,29,23.13972132254203,2.926635454297098
256,6,19,19,21.633859155763833,10.346447083803328
257,7,16,16,24.6483207171387,2.9139465724876414
258,8,15,15,20.09704753584416,3.361394716077669
259,9,26,26,21.48422670896361,4.937063156663796
260,10,9,9,25.43307609466241,12.752001455483368
261,11,8,8,36.98079740582044,0.06031616734640721
262,12,10,10,24.401634274386062,-6.0644382865909865
263,13,8,8,8.75166931488244,0.5082286490315973
264,14,12,12,21.050687726114685,3.030363313297839
265,15,6,6,24.330487436342548,2.898881039674135
266,16,12,12,18.609691163377704,6.29649315271175
267,17,8,8,20.46998624837957,6.204254233596683
268,18,4,4,17.409562475453118,5.4339684675766495
269,19,9,9,18.93848862236105,7.190481430619027
