frame_id,track_id,detection_id,center_x,center_y,center_z,velocity_x,velocity_y,speed_m_per_frame,length,width,height,yaw_rad,yaw_deg,score,confidence,age,hits,missed,confirmed
000250,1,1,45.9383030397982,6.246304295751378,0.02499997615814209,0.0,0.0,0.0,3.877491621321334,2.9592115953791867,3.5980000495910645,0.5596522168167269,32.06571001873893,1.0,1.0,1,1,0,False
000250,2,2,63.282559693163144,21.71369559329971,0.8824999630451202,0.0,0.0,0.0,3.0458073662805765,2.0244495275778824,3.2309998869895935,-0.9522544900634918,-54.56016330302047,0.8125,0.8125,1,1,0,False
000250,3,3,39.97008032157373,16.688234747074695,1.022499993443489,0.0,0.0,0.0,3.6833304840751815,1.4430451968259552,1.3630000054836273,-1.0927241790387414,-62.608483630817624,0.8007439080069381,0.8007439080069381,1,1,0,False
000250,4,4,31.901526873347798,14.76841083064073,0.10850000381469727,0.0,0.0,0.0,2.872064987784597,1.7252492322255288,2.6089999675750732,0.925137557190047,53.00647749603252,0.73,0.73,1,1,0,False
000250,5,5,21.902833481218305,10.926761519213157,-0.171999990940094,0.0,0.0,0.0,3.80633554351364,1.0135866134611595,2.4380000829696655,0.3994329751288494,22.885823673237052,0.7655154676086159,0.7655154676086159,1,1,0,False
000250,6,9,25.593179344350464,-35.33834335135782,0.9210000112652779,0.0,0.0,0.0,4.693330515719615,1.985642787784386,1.5620000213384628,0.5785121452692717,33.14630432098844,0.83125,0.83125,1,1,0,False
000250,7,10,28.067876175821883,-37.53286891477216,1.246999979019165,0.0,0.0,0.0,1.9967343381929714,1.034581533692958,1.1519999504089355,-0.40994975706616393,-23.48839089230459,0.5209130601931059,0.5209130601931059,1,1,0,False
000250,8,16,23.02972739428312,-23.106151220936155,0.3670000061392784,0.0,0.0,0.0,2.949536243088124,2.022565680143649,1.2180000096559525,0.6318005760857098,36.199506503645225,0.7786023057455446,0.7786023057455446,1,1,0,False
000250,9,19,42.04494435544753,17.76420633506475,-0.1809999942779541,0.0,0.0,0.0,1.6803632363482834,0.9321671778929556,2.1740000247955322,-1.2779435505567134,-73.22077190286302,0.5117551495980479,0.5117551495980479,1,1,0,False
000250,10,24,43.77562808940445,19.846595541418182,-0.614999994635582,0.0,0.0,0.0,2.115509734533775,0.44237712622741854,0.8819999992847443,-0.8872251171669714,-50.834254691667425,0.5025070408068207,0.5025070408068207,1,1,0,False
