frame_id,detections,assigned_records,active_tracks,total_tracks_created,pipeline_time_ms,approx_fps
000250,19,19,19,19,132.49429999268614,7.54749449640627
000251,33,33,52,52,109.66099999495782,9.119012229014688
000252,21,21,71,71,114.32339999009855,8.747115639375746
000253,32,32,80,94,149.49199999682605,6.689321167829927
000254,44,44,86,122,124.67479999759234,8.020867087970556
000255,64,64,116,164,166.79329998441972,5.995444661706499
000256,53,53,133,196,129.599900014,7.716055335628925
000257,43,43,123,213,93.44909997889772,10.70101263924228
000258,37,37,109,231,137.51709999633022,7.271822922579708
000259,58,58,112,257,156.33399999933317,6.39656120872149
000260,28,28,106,275,128.69750001118518,7.77015870481625
000261,31,31,98,292,145.95740000368096,6.851314150394434
000262,24,24,75,307,113.38359999353997,8.819617652438051
000263,17,17,65,320,126.36930000735447,7.913314388398145
000264,34,34,62,341,88.1562999857124,11.343488782560875
000265,22,22,66,359,93.32009998615831,10.715805063950048
000266,26,26,73,375,100.05189999355935,9.994812692856138
000267,50,50,85,412,114.86410000361502,8.705940323987459
000268,18,18,84,424,98.81679998943582,10.119736726011231
000269,32,32,87,442,132.44699998176657,7.550189888315068
