frame_id,status,error,num_proposals,num_ground_truth,num_matches,precision,recall,mean_iou,raw_points,cropped_points,downsampled_points,non_ground_points,filtered_clusters,boxes,total_time_ms,approx_fps
000250,ok,,19,3,2,0.10526315789473684,0.6666666666666666,0.4531836478992523,125755,63668,13330,8419,19,19,290.68629996618256,3.440134605987061
000251,ok,,33,6,4,0.12121212121212122,0.6666666666666666,0.2307492891631111,124273,62620,10344,6122,33,33,197.27050000801682,5.069181656453252
000252,ok,,21,4,3,0.14285714285714285,0.75,0.5363140135509715,125538,63392,11458,7472,21,21,202.653200016357,4.934538413009445
000253,ok,,32,3,2,0.0625,0.6666666666666666,0.6563378824317803,123067,62557,19575,9195,32,32,328.71490000979975,3.0421498994118847
000254,ok,,44,11,8,0.18181818181818182,0.7272727272727273,0.5632836222717444,116658,58856,13186,7956,44,44,222.35419997014105,4.497329036889276
000255,ok,,64,2,1,0.015625,0.5,0.9171419437951994,122419,61867,23260,13666,64,64,286.7320000077598,3.4875772497417
000256,ok,,53,4,4,0.07547169811320754,1.0,0.5769427372227546,121460,61615,18249,8899,53,53,213.505299994722,4.683724479086564
000257,ok,,43,2,1,0.023255813953488372,0.5,0.630531960173636,119734,57748,16346,4679,43,43,153.58430001651868,6.511082186736831
000258,ok,,37,5,3,0.08108108108108109,0.6,0.6089524100021099,123311,63562,16273,9099,37,37,213.63829995971173,4.680808638659743
000259,ok,,58,4,2,0.034482758620689655,0.5,0.773898343770549,124415,62727,21018,11229,58,58,238.48469997756183,4.193141111753024
000260,ok,,28,2,0,0.0,0.0,0.0,112742,54380,17966,8949,28,28,219.13510002195835,4.563394909805847
000261,ok,,31,4,1,0.03225806451612903,0.25,0.22893693748806418,123645,63016,20513,10376,31,31,332.63939997414127,3.0062584290307703
000262,ok,,24,8,6,0.25,0.75,0.6938752029923231,105709,57227,10478,6734,24,24,223.65840000566095,4.4711041479984175
000263,ok,,17,1,1,0.058823529411764705,1.0,0.3018661756577092,114977,62975,12839,7717,17,17,216.7273000231944,4.614093378605182
000264,ok,,34,17,13,0.38235294117647056,0.7647058823529411,0.44093844865853254,101481,54571,10055,6444,34,34,153.87599996756762,6.498739245956287
000265,ok,,22,6,3,0.13636363636363635,0.5,0.42797632660688106,115478,52055,14300,5707,22,22,167.46470000362024,5.971407705494842
000266,ok,,26,11,9,0.34615384615384615,0.8181818181818182,0.48315430793759234,116908,61378,9865,5597,26,26,151.38830000068992,6.605530282032645
000267,ok,,50,3,2,0.04,0.6666666666666666,0.4041384495323261,122185,59675,17519,7455,50,50,170.5548000172712,5.863218155682134
000268,ok,,18,4,4,0.2222222222222222,1.0,0.5308499128513993,108223,53965,14083,6696,18,18,145.56149998679757,6.869948441660054
000269,ok,,32,7,4,0.125,0.5714285714285714,0.29360802285059334,125243,62392,16742,9055,32,32,203.05549999466166,4.924761949448747
