frame_id,status,error,num_proposals,num_ground_truth,num_matches,precision,recall,mean_iou,raw_points,cropped_points,downsampled_points,non_ground_points,filtered_clusters,boxes,total_time_ms,approx_fps
000250,ok,,19,3,2,0.10526315789473684,0.6666666666666666,0.4531836478992523,125755,63668,13330,8419,19,19,131.03010000122595,7.631834212067638
000251,ok,,33,6,4,0.12121212121212122,0.6666666666666666,0.2307492891631111,124273,62620,10344,6122,33,33,103.01469999467372,9.707352446317895
000252,ok,,21,4,3,0.14285714285714285,0.75,0.5363140135509715,125538,63392,11458,7472,21,21,116.63109999790322,8.57404242966051
000253,ok,,32,3,2,0.0625,0.6666666666666666,0.6563378824317803,123067,62557,19575,9195,32,32,144.07080000455608,6.941031770271118
000254,ok,,44,11,8,0.18181818181818182,0.7272727272727273,0.5632836222717444,116658,58856,13186,7956,44,44,117.48450000595767,8.511761125504128
000255,ok,,64,2,1,0.015625,0.5,0.9171419437951994,122419,61867,23260,13666,64,64,168.1051000014122,5.948659499275151
000256,ok,,53,4,4,0.07547169811320754,1.0,0.5769427372227546,121460,61615,18249,8899,53,53,131.05880000148318,7.630162949673605
000257,ok,,43,2,1,0.023255813953488372,0.5,0.630531960173636,119734,57748,16346,4679,43,43,87.00770000359626,11.493235655679525
000258,ok,,37,5,3,0.08108108108108109,0.6,0.6089524100021099,123311,63562,16273,9099,37,37,134.5452000023215,7.432446493689448
000259,ok,,58,4,2,0.034482758620689655,0.5,0.773898343770549,124415,62727,21018,11229,58,58,149.2160999951011,6.701689697243333
000260,ok,,28,2,0,0.0,0.0,0.0,112742,54380,17966,8949,28,28,121.99810000311118,8.196848967110949
000261,ok,,31,4,1,0.03225806451612903,0.25,0.22893693748806418,123645,63016,20513,10376,31,31,144.59189999979571,6.916016734003861
000262,ok,,24,8,6,0.25,0.75,0.6938752029923231,105709,57227,10478,6734,24,24,112.72389999430743,8.871233163956358
000263,ok,,17,1,1,0.058823529411764705,1.0,0.3018661756577092,114977,62975,12839,7717,17,17,130.7532999999239,7.64799052873298
000264,ok,,34,17,13,0.38235294117647056,0.7647058823529411,0.44093844865853254,101481,54571,10055,6444,34,34,85.31970000331057,11.72062255213272
000265,ok,,22,6,3,0.13636363636363635,0.5,0.42797632660688106,115478,52055,14300,5707,22,22,90.50829999978305,11.048710449786341
000266,ok,,26,11,9,0.34615384615384615,0.8181818181818182,0.48315430793759234,116908,61378,9865,5597,26,26,101.15940000105184,9.885388802124194
000267,ok,,50,3,2,0.04,0.6666666666666666,0.4041384495323261,122185,59675,17519,7455,50,50,108.81049999807146,9.190289540234847
000268,ok,,18,4,4,0.2222222222222222,1.0,0.5308499128513993,108223,53965,14083,6696,18,18,95.0758000035421,10.517923593203996
000269,ok,,32,7,4,0.125,0.5714285714285714,0.29360802285059334,125243,62392,16742,9055,32,32,133.54510000135633,7.488107013958907
