track_id,track_length,first_frame,last_frame,start_x,start_y,end_x,end_y,displacement_m
105,6,000254,000264,29.24404803286397,-6.24128916738764,30.85350586444508,-5.626969481719151,1.722713901911052
195,6,000256,000264,12.739428497768818,16.533938018467545,14.061510631985438,14.960922626749111,2.054818384236882
218,6,000258,000268,3.2123305856283375,-5.2966368136569315,8.269860935504642,-0.1542088349264426,7.212709529459097
5,5,000250,000260,21.902833481218305,10.926761519213157,19.429329497078196,9.204986565987317,3.0137569492433913
71,5,000252,000259,10.328551693495577,3.423850208038391,11.360233132848217,2.257110062757543,1.5574495686585519
76,5,000253,000259,20.54695525917865,15.326209332024682,16.659937853841033,18.7851975713488,5.203220536281365
133,5,000255,000259,0.5025648720841034,19.96552857583345,0.7583835109701187,21.304818558753393,1.363503147906596
305,5,000262,000269,13.984912441992089,-2.2886794689299843,16.53147786202613,1.1203720314382177,4.255188312011096
4,4,000250,000256,31.901526873347798,14.76841083064073,29.1132543280469,15.294107539886282,2.8373968381229924
18,4,000250,000254,33.825129896081854,11.785806483217048,35.20152781346976,10.704722366104603,1.750204015325801
26,4,000251,000255,1.7362991117694224,-6.090913540777044,0.7805076866164337,-4.619601092763593,1.7545077851281585
37,4,000251,000258,25.08169922086427,-2.9190532361609027,26.820454472862806,-5.477301104088985,3.0932025443076108
94,4,000253,000258,3.5097312477196843,-14.082683383321772,3.5362216134062785,-11.300467890553469,2.7823416015425178
128,4,000255,000260,29.571917790762623,26.773757978027405,28.368208489483553,29.924388692677713,3.3727422051030906
134,4,000255,000261,3.445538443611484,-28.780138153405517,1.09124849535324,-23.620809071583388,5.6710984592938765
157,4,000255,000261,5.948403181696921,-20.727661301391926,9.264022355789987,-19.095681164173847,3.6954958633298345
193,4,000256,000260,8.41570446895552,16.50494663425707,9.388566524536351,16.537369560214913,0.9734021909347794
255,4,000259,000267,27.522455476142333,-0.5842159241519106,31.955999569284323,-2.003249518090925,4.655101456097569
307,4,000262,000266,2.567268289541056,-2.045681775194195,0.4951738805429592,-2.816162304512016,2.210704748685143
3,3,000250,000256,39.97008032157373,16.688234747074695,41.57223842146993,14.838505190627236,2.4471228022022755
48,3,000251,000257,8.737503258931033,9.503597593690493,9.924688105128405,13.572216169963355,4.2382856178215835
58,3,000252,000256,15.727069976437178,-9.778919450263125,15.505241040449118,-7.756506946537057,2.0345418187073814
88,3,000253,000257,32.67688056112884,22.133282907552132,32.39185894534459,25.7614708683619,3.639366043753941
98,3,000254,000258,17.71170920849035,-11.42989191248033,18.778540024465368,-10.7666532163384,1.256190096272841
101,3,000254,000256,22.580636754380905,-8.249461755079974,22.159966324180367,-7.171686709900623,1.1569626868903151
103,3,000254,000256,26.866755940422856,-8.198248318473784,26.261886475150202,-8.498712881572143,0.6753858332072957
104,3,000254,000258,36.96425357553196,-9.100549468774755,38.687491676083404,-9.311580189650998,1.736111608263042
110,3,000254,000256,48.234124360542516,-8.617471703413663,46.748415208311464,-10.419118555752185,2.335222273267454
120,3,000254,000258,15.133278260361292,3.328448808492682,18.17280992566914,6.481695658420872,4.379693875260135
135,3,000255,000259,17.313585939107593,-19.275953085737036,16.29918651944549,-17.920284530729482,1.6931755412972036
144,3,000255,000257,33.29876602312367,14.735514693200313,35.24907098934863,13.903430462758154,2.120389970696964
147,3,000255,000257,29.776536826157546,-17.347221960751725,31.0152449920423,-14.72772445064497,2.897613695040293
150,3,000255,000258,22.980300864263988,-12.495878221090003,25.533520821931408,-11.387711962063383,2.7833369558636396
153,3,000255,000258,31.446641904769887,-11.943185768148426,30.68851682520027,-9.043738460768827,2.9969231429156213
164,3,000255,000259,8.593793898289844,19.41721004327179,6.329497142568995,19.161745780272415,2.278662280294686
168,3,000256,000260,42.84456634578733,20.50942845712929,44.95486354574143,24.216221475006964,4.26540370299469
174,3,000256,000258,7.466005472152126,24.735005708390418,6.437937721280262,23.653436703694346,1.4922180846987425
175,3,000256,000259,1.8789488945803645,25.62287257717738,2.4346256543705183,26.102737165867243,0.7341979875002222
194,3,000256,000261,12.00904238701449,27.57130185466172,12.470774575890063,27.184456178855346,0.6023671564203326
210,3,000257,000261,41.50167216731817,-12.041156711666082,41.965318395413796,-10.309314757424424,1.7928313861874643
