track_id,track_length,first_frame_id,last_frame_id,first_frame_index,last_frame_index,frame_span,start_x,start_y,end_x,end_y,net_displacement,path_length,mean_step_distance,max_step_distance,straightness_ratio,mean_score,min_score,max_score,mean_points,min_points,max_points,passes_curation,rejection_reasons,quality_score
97,4,255,260,5,10,6,29.571917790762623,26.773757978027405,37.33028524559171,16.455984230816178,12.909249422905749,13.605173048337695,4.5350576827792315,6.428385487946098,0.9488486017076442,0.9564285714285714,0.8257142857142857,1.0,165.0,79.0,269.0,True,passed,0.7913791874564883
262,4,263,269,13,19,7,13.264698889115182,1.552554079338456,9.09118257280375,7.666893328799127,7.402930696691213,8.935451953657687,2.9784839845525624,3.7908355252830694,0.8284897882150054,0.8826522275123551,0.7078445567755436,1.0,161.25,86.0,273.0,True,passed,0.7818327133121944
252,4,262,267,12,17,6,13.984912441992089,-2.2886794689299843,14.69885483354814,-0.079431551077391,2.3217429015713162,4.211848781438627,1.4039495938128759,1.6560764559296532,0.551240802329633,0.9315584996312708,0.8517868139771791,1.0,210.5,114.0,384.0,True,passed,0.7652939725317666
153,4,256,259,6,9,4,8.41570446895552,16.50494663425707,16.659937853841033,18.7851975713488,8.553766915258363,11.85058973347567,3.9501965778252237,4.871388957791654,0.7218009489515608,0.9151420999018169,0.7455361390556505,1.0,282.0,94.0,521.0,True,passed,0.7551104956505136
5,4,250,254,0,4,5,21.902833481218305,10.926761519213157,22.33416334954596,3.4637690727182244,7.4754465894521624,8.502261738408016,2.8340872461360056,3.1871348233643455,0.879230352987449,0.8390998030462096,0.6908436828730522,0.9873804813079168,116.5,69.0,164.0,True,passed,0.7439723122574641
195,4,259,264,9,14,6,6.329497142568995,19.161745780272412,14.061510631985438,14.960922626749111,8.799485653587674,12.532838746555989,4.1776129155186625,6.400664169214357,0.7021143279295573,0.9583685968568718,0.8442307622384105,1.0,214.5,121.0,310.0,True,passed,0.7428638555420929
50,7,252,262,2,12,11,25.59199861873386,12.487802712811096,21.714017188152454,-8.916519503496994,21.75278716660176,22.965701306294008,3.827616884382335,6.272865567156757,0.9471858436406714,0.7093741027551008,0.525322463419523,0.9262082389795108,77.71428571428571,23.0,151.0,True,passed,0.7419889224464977
264,5,263,269,13,19,7,11.167729059820465,4.108599555412451,11.909582906322466,9.40630040967543,5.349390756976771,8.500961064950125,2.1252402662375314,4.083222211747275,0.6292689398417043,0.820261580567853,0.5757529420325778,0.9545373074959224,128.2,38.0,237.0,True,passed,0.7293836673682251
98,5,255,259,5,9,5,5.240012509382785,22.364303668442084,9.642953483512615,22.188457119018164,4.4064510925024045,8.600418396101784,2.150104599025446,3.5239595939334807,0.5123531076696999,0.7514665186053096,0.6231249483902201,1.0,142.8,50.0,448.0,True,passed,0.7152591848325276
259,4,263,268,13,18,6,8.297102203136586,-8.332254491870165,8.269860935504642,-0.1542088349264426,8.178091027478128,8.997894599819928,2.9992981999399757,4.162844642546224,0.9088894003761496,0.7139468850957229,0.572791162614062,0.8742379634464883,83.0,40.0,130.0,True,passed,0.6617528528411424
15,4,250,255,0,5,6,0.3183247929833753,-11.953028988363563,7.559526349078339,-6.563909802296843,9.026494645078152,9.915797934031383,3.305265978010461,4.0191597354982616,0.9103145006715889,0.6687189326313236,0.5407804577654096,0.8743880303349524,69.75,25.0,146.0,True,passed,0.6348602794555632
48,4,252,256,2,6,5,35.41046261790018,10.43986401033442,41.57223842146993,14.838505190627236,7.570701769745356,8.556567936819725,2.8521893122732416,4.075548093380107,0.8847825232787444,0.6769176082129713,0.5545754763241323,0.9025841524092832,60.25,30.0,116.0,True,passed,0.6184320317322166
25,5,251,257,1,7,7,11.64647858191722,-8.617098597112875,24.927799986825807,-12.653994539506462,13.881283338012981,14.122463844459773,3.5306159611149432,6.6294660476626674,0.9829222075479834,0.6005225812983817,0.5567110737037735,0.6561458827166399,47.0,31.0,66.0,True,passed,0.6050848564765041
125,5,255,263,5,13,9,15.86596918007842,-21.43273395065731,2.5344992036797733,-12.561305101655408,16.013442526656213,18.268289071058696,4.567072267764674,7.388378283666864,0.8765704584796233,0.6254900019384524,0.5364743532440976,0.6884267139273704,48.4,23.0,72.0,True,passed,0.5824366255394638
22,4,251,258,1,8,8,3.522104986331632,-16.81549694731194,0.8961487922217806,-10.907400146756684,6.46538890849693,10.058610079067911,3.3528700263559705,4.3250906490878664,0.6427716014115591,0.6084443122855924,0.5328537219291388,0.6957093628530236,51.75,26.0,83.0,True,passed,0.5384589080972544
